Period,Market Cap
9/12/2018,185794.4375
9/11/2018,183720.0077
9/10/2018,184996.5799
9/7/2018,185289.1277
9/6/2018,184517.8653
9/5/2018,182496.6261
9/4/2018,180714.7441
8/31/2018,182416.8403
8/30/2018,182283.8641
8/29/2018,183001.9359
8/28/2018,182523.2213
8/27/2018,183480.6504
8/24/2018,183613.6267
8/23/2018,183427.4599
8/22/2018,183613.6267
8/21/2018,183959.365
8/20/2018,186618.8903
8/17/2018,183666.8172
8/16/2018,183108.3169
8/15/2018,179172.2195
8/14/2018,176752.0514
8/13/2018,177443.528
8/10/2018,175714.8366
8/9/2018,175528.6698
8/8/2018,177363.7423
8/7/2018,177071.1945
8/6/2018,176113.7654
8/3/2018,175342.503
8/2/2018,173454.2401
8/1/2018,174172.3119
7/31/2018,175182.9315
7/30/2018,173045.4155
7/27/2018,169520.9602
7/26/2018,170909.382
7/25/2018,172191.0021
7/24/2018,169334.0573
7/23/2018,167384.9267
7/20/2018,166931.0196
7/19/2018,166904.3192
7/18/2018,168052.4372
7/17/2018,166957.72
7/16/2018,167117.9225
7/13/2018,167918.9351
7/12/2018,167304.8255
7/11/2018,165275.5936
7/10/2018,166343.6104
7/9/2018,165595.9986
7/6/2018,166076.6062
7/5/2018,164581.3827
7/3/2018,162098.2437
7/2/2018,161430.7333
6/29/2018,163301.4467
6/28/2018,162225.3252
6/27/2018,161095.3975
6/26/2018,163355.2528
6/25/2018,164323.7622
6/22/2018,165372.9807
6/21/2018,164592.7926
6/20/2018,164861.823
6/19/2018,164189.247
6/18/2018,164081.6349
6/15/2018,166879.5509
6/14/2018,165615.1081
6/13/2018,168386.1211
6/12/2018,167982.5755
6/11/2018,167686.6421
6/8/2018,168359.2181
6/7/2018,166771.9388
6/6/2018,166610.5205
6/5/2018,165157.7564
6/4/2018,166852.6479
6/1/2018,162924.8042
5/31/2018,160153.7912
5/30/2018,160664.9489
5/29/2018,157113.7478
5/25/2018,158970.0575
5/24/2018,159077.6696
5/23/2018,159185.2818
5/22/2018,157248.263
5/21/2018,157571.0994
5/18/2018,159104.5726
5/17/2018,158916.2514
5/16/2018,160745.658
5/15/2018,159265.9909
5/14/2018,160557.3368
5/11/2018,160584.2398
5/10/2018,156199.0444
5/9/2018,155903.111
5/8/2018,152701.6494
5/7/2018,154369.6378
5/4/2018,155365.0502
5/3/2018,154773.1834
5/2/2018,154154.4135
5/1/2018,155983.8201
4/30/2018,158378.1906
4/27/2018,160121.8689
4/26/2018,159960.32
4/25/2018,160552.6659
4/24/2018,161791.2073
4/23/2018,162222.0044
4/20/2018,158398.6808
4/19/2018,157887.1093
4/18/2018,158641.0041
4/17/2018,159583.3726
4/16/2018,157914.0341
4/13/2018,153929.1616
4/12/2018,152771.3946
4/11/2018,151317.4547
4/10/2018,152098.2743
4/9/2018,151209.7554
4/6/2018,143670.8075
4/5/2018,146821.0107
4/4/2018,146847.9356
4/3/2018,145636.3189
4/2/2018,143428.4842
3/29/2018,146672.1697
3/28/2018,148341.6528
3/27/2018,144878.0725
3/26/2018,145659.7402
3/23/2018,143961.6345
3/22/2018,145875.3727
3/21/2018,147411.7541
3/20/2018,147276.9838
3/19/2018,147250.0298
3/16/2018,150053.252
3/15/2018,148921.1815
3/14/2018,147708.2488
3/13/2018,149244.6302
3/12/2018,149217.6762
3/9/2018,148624.6868
3/8/2018,147600.4326
3/7/2018,146818.7648
3/6/2018,146360.5458
3/5/2018,146630.0864
3/2/2018,146522.2702
3/1/2018,144743.3022
2/28/2018,146144.9133
2/27/2018,147535.5442
2/26/2018,151148.4394
2/23/2018,147939.9727
2/22/2018,147131.1156
2/21/2018,147077.1918
2/20/2018,148236.5537
2/16/2018,151768.5632
2/15/2018,150959.7061
2/14/2018,148020.8584
2/13/2018,148020.8584
2/12/2018,149449.8394
2/9/2018,147939.9727
2/8/2018,147562.5061
2/7/2018,150663.1251
2/6/2018,149530.7251
2/5/2018,152065.1442
2/2/2018,157888.9157
2/1/2018,161393.9633
1/31/2018,159749.2871
1/30/2018,163549.4935
1/29/2018,166192.1729
1/26/2018,167297.7837
1/25/2018,165302.2911
1/24/2018,164978.6977
1/23/2018,166380.9357
1/22/2018,165167.4605
1/19/2018,165248.3588
1/18/2018,164843.8671
1/17/2018,167270.8175
1/16/2018,167378.682
1/12/2018,158183.2365
1/11/2018,155324.8282
1/10/2018,154515.8447
1/9/2018,153167.5389
1/8/2018,152790.0133
1/5/2018,153679.8951
1/4/2018,153841.6918
1/3/2018,151387.7752
1/2/2018,151603.5042
12/29/2017,153304.0587
12/28/2017,154203.1229
12/27/2017,153494.7693
12/26/2017,153494.7693
12/22/2017,153549.258
12/21/2017,154203.1229
12/20/2017,152868.1488
12/19/2017,153195.0813
12/18/2017,153167.8369
12/15/2017,153222.3256
12/14/2017,152595.7052
12/13/2017,155047.6983
12/12/2017,155483.6082
12/11/2017,153494.7693
12/8/2017,151396.953
12/7/2017,149217.4035
12/6/2017,148073.1401
12/5/2017,151941.8403
12/4/2017,153167.8369
12/1/2017,152214.284
11/30/2017,150579.6219
11/29/2017,150824.8212
11/28/2017,149653.3134
11/27/2017,148618.0274
11/24/2017,148073.1401
11/22/2017,148127.6288
11/21/2017,147855.1851
11/20/2017,147392.0309
11/17/2017,150388.9114
11/16/2017,150307.1783
11/15/2017,149299.1366
11/14/2017,149816.7796
11/13/2017,150116.4677
11/10/2017,151151.7537
11/9/2017,153140.5925
11/8/2017,154148.6341
11/7/2017,151451.4417
11/6/2017,152241.5284
11/3/2017,152731.927
